[u'1', u'2016-01-13', u'1180.98', u'7.38', u'0.628834%', u'S.N.']
[u'2', u'2016-01-14', u'1190.16', u'9.18', u'0.777321%', u'S.N.']
[u'3', u'2016-01-17', u'1212', u'21.84', u'1.83505%', u'S.N.']
[u'4', u'2016-01-18', u'1214.31', u'2.31', u'0.190594%', u'S.N.']
[u'5', u'2016-01-19', u'1213.71', u'-0.6', u'-0.0494108%', u'S.N.']
[u'6', u'2016-01-20', u'1213.57', u'-0.14', u'-0.0115349%', u'S.N.']
[u'7', u'2016-01-21', u'1212.32', u'-1.25', u'-0.103002%', u'S.N.']
[u'8', u'2016-01-24', u'1219.62', u'7.3', u'0.602151%', u'S.N.']
[u'9', u'2016-01-25', u'1222.43', u'2.81', u'0.2304%', u'S.N.']
[u'10', u'2016-01-26', u'1218.39', u'-4.04', u'-0.330489%', u'S.N.']
[u'11', u'2016-01-27', u'1216.96', u'-1.43', u'-0.117368%', u'S.N.']
[u'12', u'2016-01-28', u'1216.11', u'-0.85', u'-0.0698462%', u'S.N.']
[u'13', u'2016-01-31', u'1220.7', u'4.59', u'0.377433%', u'S.N.']
[u'14', u'2016-02-01', u'1238.02', u'17.32', u'1.41886%', u'S.N.']
[u'15', u'2016-02-02', u'1240.07', u'2.05', u'0.165587%', u'S.N.']
[u'16', u'2016-02-03', u'1242.13', u'2.06', u'0.16612%', u'S.N.']
[u'17', u'2016-02-04', u'1251.42', u'9.29', u'0.747909%', u'S.N.']
[u'18', u'2016-02-07', u'1262.82', u'11.4', u'0.910965%', u'S.N.']
[u'19', u'2016-02-08', u'1263.75', u'0.93', u'0.0736447%', u'S.N.']
[u'20', u'2016-02-11', u'1263.72', u'-0.03', u'-0.00237389%', u'S.N.']
[u'21', u'2016-02-14', u'1259.35', u'-4.37', u'-0.345804%', u'S.N.']
[u'22', u'2016-02-15', u'1258.23', u'-1.12', u'-0.0889348%', u'S.N.']
[u'23', u'2016-02-16', u'1257.34', u'-0.89', u'-0.0707343%', u'S.N.']
[u'24', u'2016-02-17', u'1266.08', u'8.74', u'0.695118%', u'S.N.']
[u'25', u'2016-02-18', u'1273.28', u'7.2', u'0.568684%', u'S.N.']
[u'26', u'2016-02-21', u'1278.92', u'5.64', u'0.44295%', u'S.N.']
[u'27', u'2016-02-22', u'1291.81', u'12.89', u'1.00788%', u'S.N.']
[u'28', u'2016-02-23', u'1285.93', u'-5.88', u'-0.455175%', u'S.N.']
[u'29', u'2016-02-24', u'1279.9', u'-6.03', u'-0.468921%', u'S.N.']
[u'30', u'2016-02-25', u'1283.52', u'3.62', u'0.282835%', u'S.N.']
[u'31', u'2016-02-28', u'1283.67', u'0.15', u'0.0116866%', u'S.N.']
[u'32', u'2016-02-29', u'1283.94', u'0.27', u'0.0210334%', u'S.N.']
[u'33', u'2016-03-01', u'1289.52', u'5.58', u'0.4346%', u'S.N.']
[u'34', u'2016-03-02', u'1295.78', u'6.26', u'0.485452%', u'S.N.']
[u'35', u'2016-03-03', u'1300.76', u'4.98', u'0.384324%', u'S.N.']
[u'36', u'2016-03-06', u'1306.54', u'5.78', u'0.444356%', u'S.N.']
[u'37', u'2016-03-10', u'1318.03', u'11.49', u'0.879422%', u'S.N.']
[u'38', u'2016-03-13', u'1318.88', u'0.85', u'0.0644902%', u'S.N.']
[u'39', u'2016-03-14', u'1312.2', u'-6.68', u'-0.50649%', u'S.N.']
[u'40', u'2016-03-15', u'1312.85', u'0.65', u'0.0495351%', u'S.N.']
[u'41', u'2016-03-16', u'1315.77', u'2.92', u'0.222417%', u'S.N.']
[u'42', u'2016-03-17', u'1326.53', u'10.76', u'0.817772%', u'S.N.']
[u'43', u'2016-03-20', u'1343.93', u'17.4', u'1.31169%', u'S.N.']
[u'44', u'2016-03-21', u'1342.07', u'-1.86', u'-0.1384%', u'S.N.']
[u'45', u'2016-03-23', u'1345.53', u'3.46', u'0.257811%', u'S.N.']
[u'46', u'2016-03-24', u'1357.14', u'11.61', u'0.862857%', u'S.N.']
[u'47', u'2016-03-27', u'1377.33', u'20.19', u'1.48769%', u'S.N.']
[u'48', u'2016-03-28', u'1374.75', u'-2.58', u'-0.187319%', u'S.N.']
[u'49', u'2016-03-29', u'1370.04', u'-4.71', u'-0.342608%', u'S.N.']
[u'50', u'2016-03-30', u'1362.98', u'-7.06', u'-0.515313%', u'S.N.']
[u'51', u'2016-03-31', u'1355.48', u'-7.5', u'-0.550265%', u'S.N.']
[u'52', u'2016-04-03', u'1351.54', u'-3.94', u'-0.290672%', u'S.N.']
[u'53', u'2016-04-04', u'1362.53', u'10.99', u'0.813146%', u'S.N.']
[u'54', u'2016-04-05', u'1375.26', u'12.73', u'0.934291%', u'S.N.']
[u'55', u'2016-04-06', u'1377.42', u'2.16', u'0.157061%', u'S.N.']
[u'56', u'2016-04-10', u'1382.42', u'5', u'0.362998%', u'S.N.']
[u'57', u'2016-04-11', u'1383.85', u'1.43', u'0.103442%', u'S.N.']
[u'58', u'2016-04-12', u'1388.63', u'4.78', u'0.345413%', u'S.N.']
[u'59', u'2016-04-14', u'1405.78', u'17.15', u'1.23503%', u'S.N.']
[u'60', u'2016-04-17', u'1409.43', u'3.65', u'0.259642%', u'S.N.']
[u'61', u'2016-04-18', u'1428.6', u'19.17', u'1.36012%', u'S.N.']
[u'62', u'2016-04-19', u'1430.81', u'2.21', u'0.154697%', u'S.N.']
[u'63', u'2016-04-20', u'1440.69', u'9.88', u'0.690518%', u'S.N.']
[u'64', u'2016-04-21', u'1441.67', u'0.98', u'0.068023%', u'S.N.']
[u'65', u'2016-04-24', u'1454.35', u'12.68', u'0.879536%', u'S.N.']
[u'66', u'2016-04-25', u'1461.75', u'7.4', u'0.508818%', u'S.N.']
[u'67', u'2016-04-26', u'1453.11', u'-8.64', u'-0.591072%', u'S.N.']
[u'68', u'2016-04-27', u'1458.38', u'5.27', u'0.36267%', u'S.N.']
[u'69', u'2016-04-28', u'1464.91', u'6.53', u'0.447757%', u'S.N.']
[u'70', u'2016-05-02', u'1474.47', u'9.56', u'0.6526%', u'S.N.']
[u'71', u'2016-05-03', u'1471.95', u'-2.52', u'-0.170909%', u'S.N.']
[u'72', u'2016-05-04', u'1468.11', u'-3.84', u'-0.260878%', u'S.N.']
[u'73', u'2016-05-05', u'1463.13', u'-4.98', u'-0.339212%', u'S.N.']
[u'74', u'2016-05-08', u'1472.69', u'9.56', u'0.653394%', u'S.N.']
[u'75', u'2016-05-09', u'1482.9', u'10.21', u'0.693289%', u'S.N.']
[u'76', u'2016-05-10', u'1484.04', u'1.14', u'0.0768764%', u'S.N.']
[u'77', u'2016-05-11', u'1481.18', u'-2.86', u'-0.192717%', u'S.N.']
[u'78', u'2016-05-12', u'1481.94', u'0.76', u'0.0513104%', u'S.N.']
[u'79', u'2016-05-15', u'1477.38', u'-4.56', u'-0.307705%', u'S.N.']
[u'80', u'2016-05-16', u'1467.51', u'-9.87', u'-0.668075%', u'S.N.']
[u'81', u'2016-05-17', u'1483.68', u'16.17', u'1.10187%', u'S.N.']
[u'82', u'2016-05-18', u'1496.41', u'12.73', u'0.858002%', u'S.N.']
[u'83', u'2016-05-19', u'1499.32', u'2.91', u'0.194465%', u'S.N.']
[u'84', u'2016-05-22', u'1509.39', u'10.07', u'0.671638%', u'S.N.']
[u'85', u'2016-05-23', u'1524.07', u'14.68', u'0.972578%', u'S.N.']
[u'86', u'2016-05-24', u'1544.53', u'20.46', u'1.34246%', u'S.N.']
[u'87', u'2016-05-25', u'1524.12', u'-20.41', u'-1.32144%', u'S.N.']
[u'88', u'2016-05-26', u'1525.09', u'0.97', u'0.0636433%', u'S.N.']
[u'89', u'2016-05-29', u'1522.25', u'-2.84', u'-0.186219%', u'S.N.']
[u'90', u'2016-05-30', u'1526.96', u'4.71', u'0.30941%', u'S.N.']
[u'91', u'2016-05-31', u'1532.12', u'5.16', u'0.337926%', u'S.N.']
[u'92', u'2016-06-01', u'1523.56', u'-8.56', u'-0.558703%', u'S.N.']
[u'93', u'2016-06-02', u'1518.12', u'-5.44', u'-0.357058%', u'S.N.']
[u'94', u'2016-06-05', u'1483.14', u'-34.98', u'-2.30417%', u'S.N.']
[u'95', u'2016-06-06', u'1516.8', u'33.66', u'2.26951%', u'S.N.']
[u'96', u'2016-06-07', u'1531.49', u'14.69', u'0.968486%', u'S.N.']
[u'97', u'2016-06-08', u'1546.8', u'15.31', u'0.99968%', u'S.N.']
[u'98', u'2016-06-09', u'1566.7', u'19.9', u'1.28653%', u'S.N.']
[u'99', u'2016-06-12', u'1597.96', u'31.26', u'1.99528%', u'S.N.']
[u'100', u'2016-06-13', u'1609.59', u'11.63', u'0.727803%', u'S.N.']
[u'101', u'2016-06-14', u'1614.15', u'4.56', u'0.283302%', u'S.N.']
[u'102', u'2016-06-15', u'1620.47', u'6.32', u'0.391537%', u'S.N.']
[u'103', u'2016-06-16', u'1632.94', u'12.47', u'0.76953%', u'S.N.']
[u'104', u'2016-06-19', u'1622.27', u'-10.67', u'-0.653423%', u'S.N.']
[u'105', u'2016-06-20', u'1615.1', u'-7.17', u'-0.441973%', u'S.N.']
[u'106', u'2016-06-21', u'1628.81', u'13.71', u'0.848864%', u'S.N.']
[u'107', u'2016-06-22', u'1647.51', u'18.7', u'1.14808%', u'S.N.']
[u'108', u'2016-06-23', u'1666.29', u'18.78', u'1.1399%', u'S.N.']
[u'109', u'2016-06-26', u'1685.17', u'18.88', u'1.13306%', u'S.N.']
[u'110', u'2016-06-27', u'1721.77', u'36.6', u'2.17189%', u'S.N.']
[u'111', u'2016-06-28', u'1724.19', u'11.35', u'0.662642%', u'S.N.']
[u'112', u'2016-06-29', u'1724.59', u'0.4', u'0.0231993%', u'S.N.']
